NOM;PRENOM;TYPE;NIVEAU;03/07/17;04/07/17;05/07/17;06/07/17;07/07/17;08/07/17;09/07/17;10/07/17;11/07/17;12/07/17;13/07/17;14/07/17;15/07/17;16/07/17;17/07/17;18/07/17;19/07/17;20/07/17;21/07/17;22/07/17;23/07/17;24/07/17;25/07/17;26/07/17;27/07/17;28/07/17;29/07/17;30/07/17;31/07/17;01/08/17;02/08/17;03/08/17;04/08/17
CHANG;Hsuning;PYTHON;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ZEMMOUR;Aviv;JAVA ;2;1;1;1;1;1;1;1;1;1;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
D'HUBERT;Francois;C;3;1;1;1;1;1;1;1;1;1;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
VERGNAUX;Caroline;C++;7;1;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
DAGOBERT;Julien;PYTHON;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;
VIGNERON;Lola;JAVA ;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
DAKA;Eli;PYTHON;2;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BLANC;France;JAVA ;3;1;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
DINI;Lucas;JAVA ;10+;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
FELICIEN;Robert;VBA;2;1;1;1;1;1;1;1;;;;;;;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
DAGIOSTINI;Daria;JAVA ;1;;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
DERIEN;Lucie;PYTHON;10+;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;
FELLA;Ania;JAVA ;1;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
DEPERT;Alain;HTML;3;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
POULICAIN;Anna;C;2;1;1;1;1;1;1;1;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
FREMAN;Gilles;JAVA ;15+;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
DALAN;Patricia;PYTHON ;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;
